experiment,population,head,target,horizon_min,event_class,split,n_samples,n_positive,n_days,decision_threshold,metric,value,ci95_low,ci95_high
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,TSS,0.357825,0.3389,0.3765
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,POD_recall,0.471542,,
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,precision,0.491238,,
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,F1,0.481189,,
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,false_alarm_ratio,0.508762,,
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,false_positive_rate,0.113717,,
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,HSS,0.363414,,
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,frequency_bias,0.959904,,
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,accuracy,0.807949,,
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,TP,9279.0,,
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,FP,9610.0,,
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,FN,10399.0,,
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,TN,74898.0,,
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,Brier_raw,0.168402,,
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,BSS_raw,-0.099229,,
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,Brier_calibrated,0.116603,,
E1,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.451,BSS_calibrated,0.238884,0.2182,0.2567
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,ROC_AUC,0.694862,0.6748,0.7194
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,TSS,0.256709,0.2341,0.2779
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,POD_recall,0.363933,,
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,precision,0.564611,,
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,F1,0.442587,,
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,false_alarm_ratio,0.435389,,
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,false_positive_rate,0.107224,,
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,HSS,0.288377,,
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,frequency_bias,0.644573,,
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,accuracy,0.746578,,
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,TP,10482.0,,
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,FP,8083.0,,
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,FN,18320.0,,
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,TN,67301.0,,
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,Brier_raw,0.213294,,
