comparison,population,quantity,horizon_min,metric,value,ci95_low,ci95_high,n_samples,n_days,ci_excludes_zero
"E4 - E4, SoLEXS withheld",common,flare_within_15min,15,TSS,0.034877,0.024,0.044,104186,162,True
"E4 - E4, SoLEXS withheld",common,flare_within_15min,15,BSS_calibrated,0.08469,0.0753,0.0941,104186,162,True
"E4 - E4, SoLEXS withheld",common,flare_within_30min,30,ROC_AUC,0.064624,0.0531,0.0747,104186,162,True
"E4 - E4, SoLEXS withheld",common,flare_within_30min,30,TSS,0.035147,0.025,0.0451,104186,162,True
"E4 - E4, SoLEXS withheld",common,flare_within_30min,30,BSS_calibrated,0.078941,0.069,0.0901,104186,162,True
"E4 - E4, SoLEXS withheld",common,flare_within_60min,60,ROC_AUC,0.088931,0.0725,0.1034,104186,162,True
"E4 - E4, SoLEXS withheld",common,flare_within_60min,60,TSS,0.043748,0.0281,0.06,104186,162,True
"E4 - E4, SoLEXS withheld",common,flare_within_60min,60,BSS_calibrated,0.09055,0.0747,0.1097,104186,162,True
"E4 - E4, SoLEXS withheld",common,flux,0,MAE_dex,-0.280662,-0.3056,-0.2578,104186,162,True
"E4 - E4, SoLEXS withheld",common,flux,1,MAE_dex,-0.270898,-0.2952,-0.2486,104143,162,True
"E4 - E4, SoLEXS withheld",common,flux,5,MAE_dex,-0.266485,-0.2913,-0.244,104047,162,True
"E4 - E4, SoLEXS withheld",common,flux,15,MAE_dex,-0.255823,-0.2805,-0.2335,103844,162,True
"E4 - E4, SoLEXS withheld",common,flux,30,MAE_dex,-0.247565,-0.2723,-0.2248,103557,162,True
"E4 - E4, SoLEXS withheld",common,flux,60,MAE_dex,-0.236246,-0.2615,-0.2138,103070,162,True
"E4 - E4, HEL1OS withheld",common,in_flare,0,ROC_AUC,0.005563,0.004,0.0071,104186,162,True
"E4 - E4, HEL1OS withheld",common,in_flare,0,TSS,0.006076,0.0009,0.0108,104186,162,True
"E4 - E4, HEL1OS withheld",common,in_flare,0,BSS_calibrated,0.011283,0.0064,0.0164,104186,162,True
"E4 - E4, HEL1OS withheld",common,flare_within_15min,15,ROC_AUC,0.023922,0.0191,0.0293,104186,162,True
"E4 - E4, HEL1OS withheld",common,flare_within_15min,15,TSS,0.02137,0.0122,0.0316,104186,162,True
"E4 - E4, HEL1OS withheld",common,flare_within_15min,15,BSS_calibrated,0.014624,0.0094,0.0202,104186,162,True
"E4 - E4, HEL1OS withheld",common,flare_within_30min,30,ROC_AUC,0.033115,0.0267,0.0406,104186,162,True
"E4 - E4, HEL1OS withheld",common,flare_within_30min,30,TSS,0.033271,0.0179,0.0491,104186,162,True
"E4 - E4, HEL1OS withheld",common,flare_within_30min,30,BSS_calibrated,0.022875,0.0158,0.0306,104186,162,True
"E4 - E4, HEL1OS withheld",common,flare_within_60min,60,ROC_AUC,0.046336,0.038,0.0564,104186,162,True
"E4 - E4, HEL1OS withheld",common,flare_within_60min,60,TSS,0.047777,0.0264,0.0706,104186,162,True
"E4 - E4, HEL1OS withheld",common,flare_within_60min,60,BSS_calibrated,0.035692,0.0263,0.0468,104186,162,True
"E4 - E4, HEL1OS withheld",common,flux,0,MAE_dex,-0.003994,-0.006,-0.0023,104186,162,True
"E4 - E4, HEL1OS withheld",common,flux,1,MAE_dex,-0.004838,-0.0068,-0.0032,104143,162,True
"E4 - E4, HEL1OS withheld",common,flux,5,MAE_dex,-0.005736,-0.0079,-0.004,104047,162,True
"E4 - E4, HEL1OS withheld",common,flux,15,MAE_dex,-0.005937,-0.0082,-0.0041,103844,162,True
"E4 - E4, HEL1OS withheld",common,flux,30,MAE_dex,-0.005785,-0.0082,-0.0037,103557,162,True
"E4 - E4, HEL1OS withheld",common,flux,60,MAE_dex,-0.00384,-0.0063,-0.0015,103070,162,True
