experiment,population,horizon_min,split,interval,nominal_coverage,n_samples,metric,value,ci95_low,ci95_high
E1,native,60,test,q10-q90,0.8,105421,coverage_scaled,0.776733,,
E1,native,60,test,q10-q90,0.8,105421,width_scaled_dex,0.40742,,
E1,native,60,test,q10-q90,0.8,105421,pinball_q10,0.025609,,
E1,native,60,test,q10-q90,0.8,105421,pinball_q50,0.058993,,
E1,native,60,test,q10-q90,0.8,105421,pinball_q90,0.040111,,
E2,common,1,test,q10-q90,0.8,104143,coverage_raw,0.13637,,
E2,common,1,test,q10-q90,0.8,104143,width_raw_dex,0.260194,,
E2,common,1,test,q10-q90,0.8,104143,scale_from_validation,2.517339,,
E2,common,1,test,q10-q90,0.8,104143,coverage_scaled,0.561555,,
E2,common,1,test,q10-q90,0.8,104143,width_scaled_dex,0.654997,,
E2,common,1,test,q10-q90,0.8,104143,pinball_q10,0.165568,,
E2,common,1,test,q10-q90,0.8,104143,pinball_q50,0.153187,,
E2,common,1,test,q10-q90,0.8,104143,pinball_q90,0.043485,,
E2,common,5,test,q10-q90,0.8,104047,coverage_raw,0.145194,,
E2,common,5,test,q10-q90,0.8,104047,width_raw_dex,0.287573,,
E2,common,5,test,q10-q90,0.8,104047,scale_from_validation,2.432012,,
E2,common,5,test,q10-q90,0.8,104047,coverage_scaled,0.565994,,
E2,common,5,test,q10-q90,0.8,104047,width_scaled_dex,0.699382,,
E2,common,5,test,q10-q90,0.8,104047,pinball_q10,0.165542,,
E2,common,5,test,q10-q90,0.8,104047,pinball_q50,0.157957,,
E2,common,5,test,q10-q90,0.8,104047,pinball_q90,0.046642,,
E2,common,15,test,q10-q90,0.8,103844,coverage_raw,0.163139,,
E2,common,15,test,q10-q90,0.8,103844,width_raw_dex,0.34848,,
E2,common,15,test,q10-q90,0.8,103844,scale_from_validation,2.299411,,
E2,common,15,test,q10-q90,0.8,103844,coverage_scaled,0.558106,,
E2,common,15,test,q10-q90,0.8,103844,width_scaled_dex,0.801299,,
E2,common,15,test,q10-q90,0.8,103844,pinball_q10,0.169906,,
E2,common,15,test,q10-q90,0.8,103844,pinball_q50,0.168109,,
E2,common,15,test,q10-q90,0.8,103844,pinball_q90,0.054284,,
E2,common,30,test,q10-q90,0.8,103557,coverage_raw,0.193961,,
E2,common,30,test,q10-q90,0.8,103557,width_raw_dex,0.405972,,
